dataset,n,d,linear_r2,knn_r2,local_y_cv,snr,intrinsic_dim,pca_pr,feat_corr,target_mi_max,uniq_y_frac
california,16512,8,0.6062,0.6407,0.4199,1.9602,5.453,5.3,0.1373,0.3821,0.2226
ccpp,7654,4,0.9271,0.9373,0.1915,15.7663,2.667,2.25,0.4554,1.1797,0.5674
energy,614,8,0.9145,0.9372,0.2082,16.2667,8.227,3.486,0.2403,1.5916,0.798
autompg,313,7,0.8099,0.845,0.3003,6.0941,3.161,2.143,0.5657,0.778,0.3674
realestate,331,6,0.5396,0.5707,0.4369,1.7556,1.843,3.69,0.2374,0.6121,0.7039
mortality,48,15,-0.4222,0.3004,0.7285,0.5479,4.683,6.251,0.2537,0.1732,1.0
bloodfat,20,2,0.4596,0.2557,0.6165,0.9136,1.923,1.888,0.2433,0.3484,1.0
metro,38554,4,0.0326,-0.0751,0.8072,0.2701,1.28,3.817,0.0604,0.063,0.1712
beijing,33405,10,0.2516,0.3943,0.5865,0.7904,2.872,6.881,0.1083,0.1638,0.0167
airquality,5552,11,0.9779,0.9756,0.1351,38.9592,4.406,2.727,0.4568,5.314,0.0683
nyse,42436,9,0.7809,0.7179,0.1751,2.5816,4.678,2.912,0.3183,1.0516,0.7674
nyse_log,42436,9,0.4962,0.7606,0.3771,3.3307,4.678,2.912,0.3183,1.0524,0.7674
