dataset,n,d,spread,nn1_mean,knn5_mean,knn5_median,het_global_cv,knn_cv_mean,knn_ratio_mean,norm_entropy,min_pairwise,spc_err_strength,spc_err_nn_k1,var_err_strength
california,16512,8,2.2582,0.42717,0.54127,0.45663,1.48161,0.52512,nan,0.01159,0.07704,0.096,0.047,0.038
ccpp,7654,4,1.89665,0.14826,0.23064,0.21267,0.39319,0.58075,nan,0.64762,0.0,0.084,0.003,0.12
energy,614,8,2.7788,0.66438,0.84696,0.82093,0.12873,0.53001,nan,0.77745,0.64489,0.291,0.022,0.265
autompg,313,7,2.4989,0.46581,0.68933,0.59427,0.40605,0.56016,nan,0.79605,0.13043,0.424,0.081,0.412
realestate,331,6,2.30437,0.46925,0.76721,0.7069,0.39017,0.61051,nan,0.68034,0.0,0.17,0.049,0.137
mortality,48,15,3.55251,2.3446,2.99423,2.70737,0.44054,0.5252,nan,0.64726,1.27027,0.259,0.077,0.505
bloodfat,20,2,1.26131,0.48791,0.82669,0.69939,0.65097,0.60654,nan,0.51365,0.0,0.6,0.1,0.6
metro,38554,4,1.47586,0.02932,0.05992,0.00621,13.41248,0.83356,nan,0.00658,0.0,0.064,0.053,0.095
beijing,33405,10,2.85979,0.53596,0.78553,0.7072,0.54172,0.5663,nan,0.16046,0.11496,0.129,0.095,0.148
airquality,5552,11,3.07949,0.51832,0.68433,0.63307,0.34228,0.53684,nan,0.57018,0.09524,0.69,0.465,0.228
nyse,42436,9,1.92667,0.27844,0.36774,0.24339,1.36411,0.53325,nan,0.12523,0.04247,0.686,0.534,0.591
nyse_log,42436,9,1.92667,0.27844,0.36774,0.24339,1.36411,0.53325,nan,0.12523,0.04247,0.262,0.003,0.236
