dataset,n_seeds,eff_raw,eff_raw_median,eff_norm,eff_winrate,eff_gapclosed,eff_vs_teacher,eff_beat_m100,rmse_unguided,rmse_guided
airquality,5,0.18679,0.03469,0.07759,0.6,1.51974,-3.00943,0.12246,2.02427,1.83749
autompg,5,-0.03185,-0.01952,-0.00909,0.4,-0.53878,-0.47731,-0.13448,3.41909,3.45095
beijing,5,1.50769,1.91851,0.02018,0.8,-3.01183,-4.14168,1.50277,74.3625,72.85481
bloodfat,5,-3.13847,-2.87587,-0.029,0.2,0.24064,0.09438,-16.54259,112.16836,115.30683
california,6,-0.00185,-0.00067,-0.00296,0.5,-0.32566,0.2761,-0.00384,0.63312,0.63497
ccpp,6,0.41736,0.46692,0.07412,0.83333,0.34864,0.97846,-0.12852,5.31949,4.90213
energy,6,-0.14137,-0.13681,-0.13275,0.0,-0.30935,1.23268,-0.28619,1.07634,1.21771
metro,5,-4.91301,-3.72587,-0.00245,0.4,0.43841,31.64927,-29.32061,2001.5156,2006.42861
mortality,5,-1.88879,-0.75582,-0.04295,0.0,6.93048,-1.17536,-1.99893,40.94133,42.83012
nyse,5,-167961.852,-223921.4291,-0.01497,0.2,-1.66231,-5.59705,-457759.52063,10989436.955,11157398.807
nyse_log,5,0.03204,0.02925,0.04471,0.6,1.49341,0.64116,0.0079,0.54282,0.51078
realestate,5,0.3243,0.20636,0.03469,0.8,0.42591,0.18406,-0.0306,8.62185,8.29755
