dataset,bucket,n,spacing_mean,hole_dist_mean,err_unguided,err_M20,err_force_ii,err_teacher_sign_tmag,benefit_force_ii,benefit_teacher_sign_tmag
california,0,2477,0.162,0.5668,0.4406,0.4209,0.4653,0.4729,-0.0247,-0.0323
california,1,2476,0.2136,0.5706,0.4105,0.3907,0.4355,0.4405,-0.025,-0.03
california,2,2474,0.25,0.6226,0.423,0.4053,0.4424,0.4496,-0.0194,-0.0267
california,3,2478,0.2857,0.6193,0.4427,0.4216,0.4608,0.4665,-0.0181,-0.0238
california,4,2476,0.3227,0.6509,0.4422,0.4248,0.4619,0.4675,-0.0197,-0.0253
california,5,2480,0.3645,0.6899,0.4506,0.4366,0.4723,0.4769,-0.0217,-0.0264
california,6,2476,0.4164,0.7104,0.457,0.4341,0.4788,0.4835,-0.0218,-0.0265
california,7,2477,0.4873,0.7052,0.4765,0.4701,0.4905,0.4967,-0.0139,-0.0202
california,8,2475,0.5994,0.8378,0.4994,0.4793,0.5128,0.5177,-0.0133,-0.0183
california,9,2479,1.0832,1.5147,0.5545,0.5311,0.5657,0.5699,-0.0112,-0.0154
