dataset,seed,method,rmse_base,rmse_guided,improvement
california,42,A_self,0.60806,0.61746,-0.0094
california,42,A_labels,0.60806,0.61643,-0.00836
california,42,B_oof,0.60806,0.61348,-0.00541
california,42,C_ens,0.60806,0.61791,-0.00985
california,42,D_bigTM,0.60806,0.61295,-0.00489
california,42,D_nn,0.60806,0.61887,-0.01081
california,43,A_self,0.60801,0.60902,-0.00101
california,43,A_labels,0.60801,0.61226,-0.00425
california,43,B_oof,0.60801,0.61183,-0.00382
california,43,C_ens,0.60801,0.62455,-0.01655
california,43,D_bigTM,0.60801,0.62273,-0.01472
california,43,D_nn,0.60801,0.6178,-0.0098
california,44,A_self,0.61978,0.61172,0.00806
california,44,A_labels,0.61978,0.61502,0.00476
california,44,B_oof,0.61978,0.6112,0.00858
california,44,C_ens,0.61978,0.6121,0.00768
california,44,D_bigTM,0.61978,0.61766,0.00212
california,44,D_nn,0.61978,0.61961,0.00017
california,45,A_self,0.6124,0.61918,-0.00677
california,45,A_labels,0.6124,0.61442,-0.00201
california,45,B_oof,0.6124,0.61762,-0.00521
california,45,C_ens,0.6124,0.61419,-0.00179
california,45,D_bigTM,0.6124,0.64065,-0.02825
california,45,D_nn,0.6124,0.61843,-0.00602
california,46,A_self,0.61301,0.61988,-0.00687
california,46,A_labels,0.61301,0.6267,-0.01369
california,46,B_oof,0.61301,0.62111,-0.0081
california,46,C_ens,0.61301,0.6146,-0.00158
california,46,D_bigTM,0.61301,0.64962,-0.03661
california,46,D_nn,0.61301,0.63623,-0.02322
california,47,A_self,0.61045,0.6122,-0.00175
california,47,A_labels,0.61045,0.60665,0.0038
california,47,B_oof,0.61045,0.60897,0.00148
california,47,C_ens,0.61045,0.61155,-0.00111
california,47,D_bigTM,0.61045,0.61367,-0.00322
california,47,D_nn,0.61045,0.61494,-0.00449
california,48,A_self,0.6257,0.61785,0.00785
california,48,A_labels,0.6257,0.62956,-0.00386
california,48,B_oof,0.6257,0.61161,0.01409
california,48,C_ens,0.6257,0.61498,0.01073
california,48,D_bigTM,0.6257,0.65742,-0.03172
california,48,D_nn,0.6257,0.61772,0.00798
california,49,A_self,0.61727,0.6226,-0.00533
california,49,A_labels,0.61727,0.62138,-0.00411
california,49,B_oof,0.61727,0.61384,0.00343
california,49,C_ens,0.61727,0.61003,0.00724
california,49,D_bigTM,0.61727,0.62472,-0.00745
california,49,D_nn,0.61727,0.62018,-0.00291
