dataset,descriptor,n,spearman,p
ccpp,in_hole,9570,0.025,0.0132
ccpp,local_density,9570,0.03,0.0029
ccpp,dist_nearest,9570,0.005,0.6494
ccpp,local_y_rough,9570,-0.028,0.006
ccpp,support_loss,9570,0.029,0.0044
ccpp,teacher_extra,9570,0.004,0.7077
ccpp,ts_disagree,9570,0.088,0.0
ccpp,err_unguided,9570,0.478,0.0
california,in_hole,20640,0.01,0.1688
california,local_density,20640,0.047,0.0
california,dist_nearest,20640,0.042,0.0
california,local_y_rough,20640,0.019,0.0069
california,support_loss,20640,0.017,0.0125
california,teacher_extra,20640,-0.039,0.0
california,ts_disagree,20640,0.001,0.8502
california,err_unguided,20640,0.131,0.0
energy,in_hole,770,-0.01,0.786
energy,local_density,770,-0.009,0.7948
energy,dist_nearest,770,-0.08,0.0263
energy,local_y_rough,770,0.042,0.2494
energy,support_loss,770,-0.002,0.9579
energy,teacher_extra,770,-0.096,0.008
energy,ts_disagree,770,0.222,0.0
energy,err_unguided,770,0.391,0.0
airquality,in_hole,6945,-0.033,0.0054
airquality,local_density,6945,-0.002,0.8561
airquality,dist_nearest,6945,0.004,0.7137
airquality,local_y_rough,6945,0.028,0.0176
airquality,support_loss,6945,-0.043,0.0003
airquality,teacher_extra,6945,-0.021,0.0763
airquality,ts_disagree,6945,0.068,0.0
airquality,err_unguided,6945,0.451,0.0
