dataset,mode,epochs,seed,teacher_frac,f_opposite,p_teacher,rmse_M100,rmse_M20,student_frac,f,rmse_unguided,rmse_guided
beijing,structured,100,42,0.2,0.0,0.5,74.40275,73.99643,0.3,0.0,75.73615,75.73615
beijing,structured,100,42,0.2,0.0,0.5,74.40275,73.99643,0.3,0.75,75.73615,74.26322
beijing,structured,100,43,0.2,0.0,0.5,73.84508,73.90847,0.3,0.0,72.99746,72.99746
beijing,structured,100,43,0.2,0.0,0.5,73.84508,73.90847,0.3,0.75,72.99746,73.7335
beijing,structured,100,44,0.2,0.0,0.5,73.21184,72.81583,0.3,0.0,73.86423,73.86423
beijing,structured,100,44,0.2,0.0,0.5,73.21184,72.81583,0.3,0.75,73.86423,71.34851
beijing,structured,100,45,0.2,0.0,0.5,76.21296,75.29711,0.3,0.0,75.22434,75.22434
beijing,structured,100,45,0.2,0.0,0.5,76.21296,75.29711,0.3,0.75,75.22434,73.30583
beijing,structured,100,46,0.2,0.0,0.5,74.11527,72.51209,0.3,0.0,73.99033,73.99033
beijing,structured,100,46,0.2,0.0,0.5,74.11527,72.51209,0.3,0.75,73.99033,71.623
