dataset,n_test,spacing,TM_pearson,TM_spearman,NN_pearson,NN_spearman
california,4128,nn_to_train_k1,0.053,0.067,0.096,0.047
california,4128,knn_to_train_k5,0.021,0.068,0.065,0.041
california,4128,local_density_k5,0.019,0.068,0.065,0.045
california,4128,nn_to_test_k1,0.01,0.058,0.056,0.055
ccpp,1914,nn_to_train_k1,-0.0,-0.032,0.001,-0.003
ccpp,1914,knn_to_train_k5,0.084,0.014,-0.029,-0.033
ccpp,1914,local_density_k5,0.052,-0.006,-0.024,-0.021
ccpp,1914,nn_to_test_k1,0.034,-0.015,-0.031,0.009
energy,154,nn_to_train_k1,0.075,0.067,0.077,0.022
energy,154,knn_to_train_k5,0.237,0.211,0.042,0.154
energy,154,local_density_k5,0.281,0.291,0.093,0.185
energy,154,nn_to_test_k1,0.149,0.235,0.05,0.039
autompg,79,nn_to_train_k1,-0.031,0.012,0.148,0.081
autompg,79,knn_to_train_k5,0.141,0.121,0.198,0.138
autompg,79,local_density_k5,0.186,0.122,0.201,0.159
autompg,79,nn_to_test_k1,0.424,0.209,0.143,0.188
realestate,83,nn_to_train_k1,0.02,-0.048,-0.018,-0.049
realestate,83,knn_to_train_k5,0.067,0.033,-0.07,-0.17
realestate,83,local_density_k5,0.036,0.024,-0.066,-0.144
realestate,83,nn_to_test_k1,-0.081,-0.131,-0.045,-0.135
mortality,12,nn_to_train_k1,-0.071,0.126,-0.166,0.077
mortality,12,knn_to_train_k5,0.03,0.21,-0.14,-0.119
mortality,12,local_density_k5,0.03,0.259,-0.137,-0.077
mortality,12,nn_to_test_k1,0.154,0.102,-0.016,-0.159
bloodfat,5,nn_to_train_k1,0.534,0.6,0.171,-0.1
bloodfat,5,knn_to_train_k5,0.316,0.5,0.348,0.3
bloodfat,5,local_density_k5,0.399,0.6,0.389,0.1
bloodfat,5,nn_to_test_k1,0.352,0.211,0.402,0.527
metro,9639,nn_to_train_k1,-0.003,-0.026,-0.014,-0.053
metro,9639,knn_to_train_k5,-0.002,-0.033,-0.007,-0.059
metro,9639,local_density_k5,-0.004,-0.034,-0.009,-0.064
metro,9639,nn_to_test_k1,0.001,-0.023,-0.004,-0.048
beijing,8352,nn_to_train_k1,-0.038,-0.105,-0.012,-0.095
beijing,8352,knn_to_train_k5,-0.06,-0.111,-0.043,-0.114
beijing,8352,local_density_k5,-0.057,-0.125,-0.039,-0.129
beijing,8352,nn_to_test_k1,-0.051,-0.06,-0.062,-0.086
airquality,1389,nn_to_train_k1,0.395,0.209,0.614,0.465
airquality,1389,knn_to_train_k5,0.449,0.283,0.689,0.608
airquality,1389,local_density_k5,0.465,0.29,0.69,0.588
airquality,1389,nn_to_test_k1,0.4,0.217,0.544,0.393
nyse,10610,nn_to_train_k1,0.672,0.489,0.57,0.534
nyse,10610,knn_to_train_k5,0.686,0.535,0.579,0.538
nyse,10610,local_density_k5,0.686,0.532,0.583,0.545
nyse,10610,nn_to_test_k1,0.652,0.508,0.568,0.512
nyse_log,10610,nn_to_train_k1,0.255,0.038,0.032,-0.003
nyse_log,10610,knn_to_train_k5,0.261,0.036,0.033,-0.001
nyse_log,10610,local_density_k5,0.262,0.039,0.034,0.0
nyse_log,10610,nn_to_test_k1,0.257,0.048,0.038,0.009
