dataset,n_test,metric,TM_pearson,TM_spearman,NN_pearson,NN_spearman
california,4128,knn_cv_k5,-0.029,-0.034,-0.038,-0.028
california,4128,knn_ratio_k5,-0.024,-0.034,-0.032,-0.028
california,4128,knn_std_k5,-0.005,0.009,0.037,0.009
ccpp,1914,knn_cv_k5,0.041,0.046,-0.031,-0.019
ccpp,1914,knn_ratio_k5,0.016,0.039,-0.033,-0.019
ccpp,1914,knn_std_k5,0.12,0.053,-0.042,-0.035
energy,154,knn_cv_k5,0.197,0.195,-0.12,-0.068
energy,154,knn_ratio_k5,0.265,0.216,-0.039,0.003
energy,154,knn_std_k5,0.26,0.225,-0.067,-0.016
autompg,79,knn_cv_k5,0.305,0.233,0.141,0.121
autompg,79,knn_ratio_k5,0.283,0.241,0.112,0.12
autompg,79,knn_std_k5,0.412,0.329,0.18,0.211
realestate,83,knn_cv_k5,0.013,0.049,-0.062,-0.038
realestate,83,knn_ratio_k5,0.073,0.085,0.018,-0.049
realestate,83,knn_std_k5,0.101,0.137,-0.083,-0.087
mortality,12,knn_cv_k5,0.434,0.329,0.212,-0.028
mortality,12,knn_ratio_k5,0.476,0.231,0.22,-0.021
mortality,12,knn_std_k5,0.505,0.308,0.197,-0.35
bloodfat,5,knn_cv_k5,-0.352,-0.6,0.267,0.2
bloodfat,5,knn_ratio_k5,-0.175,-0.6,-0.107,0.2
bloodfat,5,knn_std_k5,-0.138,-0.4,0.521,0.2
metro,9639,knn_cv_k5,0.05,0.043,0.06,0.054
metro,9639,knn_ratio_k5,0.095,0.007,0.009,-0.004
metro,9639,knn_std_k5,0.021,-0.024,-0.0,-0.051
beijing,8352,knn_cv_k5,-0.048,-0.063,-0.09,-0.119
beijing,8352,knn_ratio_k5,-0.042,-0.051,-0.073,-0.103
beijing,8352,knn_std_k5,-0.08,-0.11,-0.095,-0.148
airquality,1389,knn_cv_k5,-0.021,-0.01,-0.066,-0.058
airquality,1389,knn_ratio_k5,0.006,-0.005,-0.038,-0.055
airquality,1389,knn_std_k5,0.156,0.129,0.216,0.228
nyse,10610,knn_cv_k5,0.0,0.029,-0.031,-0.129
nyse,10610,knn_ratio_k5,-0.002,0.029,-0.029,-0.126
nyse,10610,knn_std_k5,0.591,0.441,0.512,0.336
nyse_log,10610,knn_cv_k5,0.004,-0.007,0.011,0.023
nyse_log,10610,knn_ratio_k5,-0.0,-0.008,0.007,0.022
nyse_log,10610,knn_std_k5,0.236,0.046,0.033,0.016
